seasoning_band,n,factor_mean,factor_median,factor_p10,factor_p90,ei_mean,stotal_mean,utilization_mean,share
<=6m,960,0.9219925699086903,1.0081115995,0.49374832282,1.1722072233,2197862.076985663,2723599.315221875,0.9268032972091292,0.096
7-12m,883,0.8760460605883742,0.9993449901,0.47703433551999996,1.0715271652,1783785.293773726,2237300.6133522084,0.9531010024893126,0.0883
13-24m,797,1.0084357179235646,1.0,0.55301900308,1.1705602025999997,1008564.0022619385,1127138.5024466752,0.8700661989434203,0.0797
25-48m,1185,1.0498428893490237,1.030392873,0.85514504638,1.2299417408,285314.68359165255,316005.4062616034,0.8088832346333873,0.1185
49-72m,1552,1.0619961664290394,1.0362630605,0.88690742168,1.2520348102,150086.0191702523,144171.244246134,0.7611626125661173,0.1552
73-120m,3470,1.0591813497725087,1.0387899875,0.900698944,1.2318501634,120158.26043828021,118970.90182997119,0.7541584989461328,0.347
>120m,1153,1.0581477407914284,1.039947022,0.889915268,1.2386852743999999,102963.6762549535,98007.41488291413,0.7569677076410839,0.1153
