delinquency_band,n,factor_mean,factor_median,factor_p10,factor_p90,ei_mean,stotal_mean,utilization_mean,share
0,8816,1.0373006968778211,1.033765829,0.74773708615,1.2390287355,477079.09556505893,562270.100469941,0.7989449976963624,0.8816
1-30,257,0.8356912657438521,0.9990438821,0.4945711882,1.0243089612,2144107.9181388905,2688906.855564202,0.982891793370428,0.0257
31-60,667,0.9600146898445051,1.001530028,0.63448322494,1.0591046848,795637.7895357567,956408.5187556222,0.8213071676577767,0.0667
61-90,260,0.9620188912277553,1.0,0.91324439816,1.0279856216,1184222.1356874243,1256254.5277692308,0.8092796371465115,0.026
